,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,1750000,3850.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,0
1,1750000,4000.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,2
2,1767150,4000.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,0
3,1820000,4000.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,0
4,1890000,3649.0,2.0,1.0,2.0,0,0,0,0,0,0.0,0,0
5,1960000,4000.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,0
6,2100000,3360.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
7,2100000,3000.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,0
8,2100000,2400.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
9,2135000,4000.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,0
10,2233000,5300.0,3.0,1.0,1.0,0,0,0,0,1,0.0,1,0
11,2240000,1950.0,3.0,1.0,1.0,0,0,0,1,0,0.0,0,0
12,2275000,4000.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,0
13,2275000,4000.0,2.0,1.0,1.0,0,0,1,0,0,0.0,0,1
14,2310000,3180.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
15,2345000,3640.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
16,2380000,3264.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
17,2380000,4000.0,4.0,2.0,2.0,1,0,0,0,0,0.0,0,2
18,2380000,2475.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,2
19,2408000,3635.0,2.0,1.0,2.0,0,0,0,0,0,0.0,0,0
20,2450000,4000.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
21,2450000,4000.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
22,2450000,3000.0,3.0,1.0,1.0,1,0,0,0,0,1.0,0,0
23,2450000,3240.0,2.0,1.0,1.0,0,1,0,0,0,0.0,0,0
24,2485000,4000.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,1
25,2485000,4400.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
26,2520000,2880.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
27,2590000,4000.0,2.0,1.0,2.0,1,0,0,0,0,1.0,0,2
28,2590000,3600.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
29,2604000,4000.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,0
30,2653000,4000.0,3.0,1.0,2.0,1,0,0,0,1,0.0,0,0
31,2660000,4000.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
32,2660000,4000.0,2.0,1.0,2.0,1,0,0,0,0,1.0,0,1
33,2660000,2430.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,0
34,2660000,2800.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
35,2660000,4000.0,3.0,3.0,2.0,0,1,0,0,0,0.0,0,0
36,2660000,2000.0,2.0,1.0,2.0,1,0,0,0,0,0.0,0,0
37,2660000,3934.0,2.0,1.0,2.0,1,0,0,0,0,0.0,0,0
38,2695000,4000.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
39,2730000,4000.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
40,2730000,4000.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
41,2800000,2650.0,3.0,1.0,2.0,1,0,1,0,0,1.0,0,0
42,2835000,3300.0,3.0,1.0,2.0,0,0,0,0,0,1.0,0,0
43,2852500,5200.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,0
44,2870000,5400.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,0
45,2870000,4000.0,2.0,1.0,2.0,1,0,0,0,0,0.0,0,1
46,2870000,3630.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
47,2870000,3040.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,0
48,2940000,4000.0,3.0,1.0,2.0,1,0,0,0,0,1.0,0,0
49,2940000,4000.0,4.0,1.0,2.0,0,0,0,0,0,0.0,0,0
50,2940000,2700.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,0
51,2940000,4000.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,0
52,2940000,4000.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,1
53,2961000,4000.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
54,2975000,4352.0,4.0,1.0,2.0,0,0,0,0,0,1.0,0,0
55,3010000,4000.0,4.0,1.0,2.0,1,0,0,0,0,3.0,0,1
56,3010000,3750.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
57,3010000,5076.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,0
58,3010000,4600.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,2
59,3010000,2835.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
60,3010000,3240.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,1
61,3010000,3090.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,1
62,3045000,3800.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
63,3080000,4500.0,2.0,1.0,2.0,1,0,0,1,0,0.0,0,0
64,3080000,3090.0,3.0,1.0,1.0,1,1,0,0,0,0.0,0,0
65,3080000,4000.0,3.0,1.0,2.0,0,0,1,0,0,0.0,0,1
66,3115000,3500.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
67,3115000,3850.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
68,3115000,3000.0,3.0,1.0,1.0,0,0,0,0,1,0.0,0,0
69,3129000,5495.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
70,3143000,4000.0,3.0,1.0,2.0,1,0,0,0,1,0.0,0,0
71,3150000,3500.0,2.0,1.0,1.0,1,0,1,0,0,0.0,0,1
72,3150000,4000.0,2.0,2.0,1.0,0,1,1,0,0,1.0,0,0
73,3150000,3450.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,1
74,3150000,4000.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,0
75,3150000,4000.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,0
76,3220000,3120.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,0
77,3220000,4320.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
78,3220000,2684.0,2.0,1.0,2.0,1,0,0,0,1,1.0,0,0
79,3220000,4370.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,0
80,3234000,3640.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,0
81,3255000,4000.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,0
82,3290000,4000.0,3.0,1.0,1.0,1,1,1,0,0,0.0,0,0
83,3290000,3480.0,3.0,1.0,2.0,1,0,0,0,0,1.0,0,0
84,3290000,4000.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,0
85,3290000,2145.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,0
